stock_code,trade_date,stock_code,equity,cash,cumu_r,nav,volume,buy_sell,operation_price,operation_volume,is_long
600519.SH,2016-09-13,600519.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600519.SH,2016-09-14,600519.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600519.SH,2016-09-19,600519.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600519.SH,2016-09-20,600519.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600519.SH,2016-09-21,600519.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600519.SH,2016-09-22,600519.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600519.SH,2016-09-23,600519.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600519.SH,2016-09-26,600519.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600519.SH,2016-09-27,600519.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600519.SH,2016-09-28,600519.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600519.SH,2016-09-29,600519.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600519.SH,2016-09-30,600519.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600519.SH,2016-10-10,600519.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600519.SH,2016-10-11,600519.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600519.SH,2016-10-12,600519.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600519.SH,2016-10-13,600519.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600519.SH,2016-10-14,600519.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600519.SH,2016-10-17,600519.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600519.SH,2016-10-18,600519.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600519.SH,2016-10-19,600519.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600519.SH,2016-10-20,600519.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600519.SH,2016-10-21,600519.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600519.SH,2016-10-24,600519.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
